subject,topic,year,exam,exercise,exercise_type
química,Conf. Electrónica,2000,Junio,Ejercicio 2 Opción B,Combinaciones de números cuánticos | Situar elementos en tabla periódica (grupo y período)
química,Conf. Electrónica,2000,Reserva 1,Ejercicio 4 Opcion A,Comparación energías de ionización | Situar elementos en tabla periódica (grupo y período)
química,Conf. Electrónica,2000,Reserva 2,Ejercicio 2 Opcion A,Situar elementos en tabla periódica (grupo y período)
química,Conf. Electrónica,2000,Reserva 3,Ejercicio 2 Opción A,Propiedades periódicas
química,Conf. Electrónica,2000,Reserva 4,Ejercicio 2 Opción B,Ion más estable | Radio / energía ionización Na+ y Ne
química,Conf. Electrónica,2000,Septiembre,Ejercicio 2 Opción B,Propiedades periódicas
química,Conf. Electrónica,2001,Junio,Ejercicio 2 Opcion A,Situar elementos en tabla periódica (grupo y período) | Propiedades periódicas
química,Conf. Electrónica,2001,Reserva 1,Ejercicio 2 Opción A,Ion más estable
química,Conf. Electrónica,2001,Reserva 2,Ejercicio 2 Opción B,Ion más estable
química,Conf. Electrónica,2001,Reserva 3,Ejercicio 2 Opción B,Situar elementos en tabla periódica (grupo y período) | Propiedades periódicas
química,Conf. Electrónica,2001,Reserva 4,Ejercicio 2 Opcion A,Combinaciones de números cuánticos
química,Conf. Electrónica,2001,Septiembre,Ejercicio 2 Opción A,Propiedades periódicas
química,Conf. Electrónica,2002,Junio,Ejercicio 2 Opción A,Propiedades periódicas
química,Conf. Electrónica,2002,Reserva 1,Ejercicio 2 Opción A,Radio / energía ionización Na+ y Ne | Comparación energías de ionización
química,Conf. Electrónica,2002,Reserva 2,Ejercicio 3 Opción B,Propiedades periódicas
química,Conf. Electrónica,2002,Reserva 3,Ejercicio 2 Opcion A,Propiedades periódicas
química,Conf. Electrónica,2002,Reserva 4,Ejercicio 2 Opción A,Situar elementos en tabla periódica (grupo y período) | Ion más estable
química,Conf. Electrónica,2002,Septiembre,Ejercicio 2 Opción B,Verdadero o Falso
química,Conf. Electrónica,2003,Junio,Ejercicio 2 Opción A,Situar elementos en tabla periódica (grupo y período) | Combinaciones de números cuánticos
química,Conf. Electrónica,2003,Reserva 1,Ejercicio 2 Opción A,Combinaciones de números cuánticos
química,Conf. Electrónica,2003,Reserva 2,Ejercicio 2 Opción B,Situar elementos en tabla periódica (grupo y período)
química,Conf. Electrónica,2003,Reserva 3,Ejercicio 2 Opcion A,Comparación energías de ionización
química,Conf. Electrónica,2003,Reserva 4,Ejercicio 3 Opción B,Ion más estable | Radio / energía ionización Na+ y Ne
química,Conf. Electrónica,2003,Septiembre,Ejercicio 2 Opción A,Situar elementos en tabla periódica (grupo y período) | Propiedades periódicas
química,Conf. Electrónica,2004,Junio,Ejercicio 2 Opcióon A,Verdadero o Falso
química,Conf. Electrónica,2004,Reserva 1,Ejercicio 2 Opcion A,Combinaciones de números cuánticos
química,Conf. Electrónica,2004,Reserva 2,Ejercicio 2 Opción A,Combinaciones de números cuánticos
química,Conf. Electrónica,2004,Reserva 3,Ejercicio 2 Opción A,Radio / energía ionización Na+ y Ne
química,Conf. Electrónica,2004,Reserva 4,Ejercicio 3 Opción B,Propiedades periódicas
química,Conf. Electrónica,2004,Septiembre,Ejercicio 2 Opcion A,Comparación energías de ionización
química,Conf. Electrónica,2005,Junio,Ejercicio 2 Opción A,Situar elementos en tabla periódica (grupo y período)
química,Conf. Electrónica,2005,Reserva 1,Ejercicio 3 Opción B,Radio / energía ionización Na+ y Ne
química,Conf. Electrónica,2005,Reserva 2,Ejercicio 2 Opcióon A,Combinaciones de números cuánticos
química,Conf. Electrónica,2005,Reserva 3,Ejercicio 2 Opcion A,Combinaciones de números cuánticos
química,Conf. Electrónica,2005,Reserva 4,Ejercicio 2 Opcion A,Combinaciones de números cuánticos
química,Conf. Electrónica,2005,Septiembre,Ejercicio 2 Opción A,Situar elementos en tabla periódica (grupo y período) | Propiedades periódicas
química,Conf. Electrónica,2006,Junio,Ejercicio 2 Opción B,Verdadero o Falso
química,Conf. Electrónica,2006,Reserva 1,Ejercicio 2 Opcion A,Situar elementos en tabla periódica (grupo y período)
química,Conf. Electrónica,2006,Reserva 2,Ejercicio 3 Opción B,Propiedades periódicas | Comparación energías de ionización
química,Conf. Electrónica,2006,Reserva 3,Ejercicio 2 Opción A,Radio / energía ionización Na+ y Ne | Comparación energías de ionización
química,Conf. Electrónica,2006,Reserva 4,Ejercicio 2 Opción A,Radio / energía ionización Na+ y Ne | Comparación energías de ionización
química,Conf. Electrónica,2006,Septiembre,Ejercicio 2 Opcion A,Propiedades periódicas | Comparación energías de ionización
química,Conf. Electrónica,2007,Junio,Ejercicio 2 Opción A,Propiedades periódicas
