asignatura|tema|año|convocatoria|ejercicio|tipo_ejercicio
química|Redox|2025|Junio|Ejercicio 5a|Pilas galvánicas: espontaneidad (ánodos de sacrificio)
química|Redox|2025|Junio|Ejercicio 5b|Electrolisis (constante de Faraday)
química|Redox|2025|Reserva 1|Ejercicio 3B|Ajuste reacciones redox medio ácido
química|Redox|2025|Reserva 2|Ejercicio 2A|Verdadero / Falso
química|Redox|2025|Reserva 2|Ejercicio 3A|Electrolisis (constante de Faraday)
química|Redox|2025|Julio|Ejercicio 3B|Ajuste reacciones redox medio ácido
química|Redox|2024|Junio|Ejercicio C4|Ajuste reacciones redox medio ácido
química|Redox|2024|Reserva 1|Ejercicio C4|Ajuste reacciones redox medio ácido
química|Redox|2024|Reserva 2|Ejercicio B4|Pilas galvánicas: cálculo del potencial de la pila
química|Redox|2024|Reserva 2|Ejercicio C4|Ajuste reacciones redox medio ácido
química|Redox|2024|Reserva 3|Ejercicio B5|Verdadero / Falso
química|Redox|2024|Reserva 3|Ejercicio C2|Electrolisis (constante de Faraday)
química|Redox|2024|Reserva 4|Ejercicio B5|Pilas galvánicas: notación de la pila (se pregunta)
química|Redox|2024|Reserva 4|Ejercicio C4|Electrolisis (constante de Faraday)
química|Redox|2024|Julio|Ejercicio C4|Ajuste reacciones redox medio básico
química|Redox|2023|Junio|Ejercicio B5|¿Se formará hidrógeno gaseoso? / Pilas galvánicas: notación de la pila (se pregunta)
química|Redox|2023|Junio|Ejercicio C4|Electrolisis (constante de Faraday)
química|Redox|2023|Reserva 1|Ejercicio B2|Verdadero / Falso
química|Redox|2023|Reserva 1|Ejercicio C2|Electrolisis (constante de Faraday)
química|Redox|2023|Reserva 2|Ejercicio C4|Ajuste reacciones redox medio ácido
química|Redox|2023|Reserva 3|Ejercicio B4|Pilas galvánicas: cálculo del potencial de la pila
química|Redox|2023|Reserva 3|Ejercicio C4|Ajuste reacciones redox medio ácido
química|Redox|2023|Reserva 4|Ejercicio C4|Ajuste reacciones redox medio básico
química|Redox|2023|Julio|Ejercicio C4|Ajuste reacciones redox medio ácido
química|Redox|2022|Junio|Ejercicio C4|Ajuste reacciones redox medio ácido
química|Redox|2022|Reserva 1|Ejercicio B4|Pilas galvánicas: notación de la pila (se pregunta)
química|Redox|2022|Reserva 1|Ejercicio C4|Ajuste reacciones redox medio básico
química|Redox|2022|Reserva 2|Ejercicio C4|Ajuste reacciones redox medio ácido
química|Redox|2022|Reserva 3|Ejercicio C4|Ajuste reacciones redox medio ácido
química|Redox|2022|Reserva 4|Ejercicio B5|Pilas galvánicas: espontaneidad / Pilas galvánicas: cálculo del potencial de la pila
química|Redox|2022|Reserva 4|Ejercicio C2|Electrolisis (constante de Faraday)
química|Redox|2022|Julio|Ejercicio B5|Pilas galvánicas: notación de la pila (como dato del ejercicio)
química|Redox|2022|Julio|Ejercicio C4|Electrolisis (constante de Faraday)
química|Redox|2021|Junio|Ejercicio C4|Ajuste reacciones redox medio ácido
química|Redox|2021|Reserva 1|Ejercicio B5|Verdadero / Falso
química|Redox|2021|Reserva 1|Ejercicio C2|Electrolisis (constante de Faraday)
química|Redox|2021|Reserva 2|Ejercicio B5|Pilas galvánicas: notación de la pila (se pregunta)
química|Redox|2021|Reserva 2|Ejercicio C4|Electrolisis (constante de Faraday)
química|Redox|2021|Reserva 3|Ejercicio B4|Verdadero / Falso
química|Redox|2021|Reserva 3|Ejercicio C4|Ajuste reacciones redox medio básico
química|Redox|2021|Reserva 4|Ejercicio C4|Ajuste reacciones redox medio ácido
química|Redox|2021|Julio|Ejercicio C4|Ajuste reacciones redox medio ácido
química|Redox|2020|Junio|Ejercicio C4|Ajuste reacciones redox medio ácido
química|Redox|2020|Reserva 1|Ejercicio B5|Pilas galvánicas: notación de la pila (se pregunta)
química|Redox|2020|Reserva 1|Ejercicio C4|Electrolisis (constante de Faraday)
química|Redox|2020|Reserva 2|Ejercicio B4|Pilas galvánicas: cálculo del potencial de la pila / Pilas galvánicas: notación de la pila (se pregunta)
química|Redox|2020|Reserva 2|Ejercicio C4|Ajuste reacciones redox medio básico
química|Redox|2020|Reserva 3|Ejercicio C4|Ajuste reacciones redox medio ácido
química|Redox|2020|Reserva 4|Ejercicio B6|Pilas galvánicas: cálculo del potencial de la pila / ¿Se formará hidrógeno gaseoso?
química|Redox|2020|Reserva 4|Ejercicio C4|Ajuste reacciones redox medio ácido
química|Redox|2020|Septiembre|Ejercicio C2|Electrolisis (constante de Faraday)
química|Redox|2019|Junio|Ejercicio 6 Opción B|Ajuste reacciones redox medio ácido
química|Redox|2019|Reserva 1|Ejercicio 6 Opción A|Ajuste reacciones redox medio ácido
química|Redox|2019|Reserva 1|Ejercicio 6 Opción B|Electrolisis (constante de Faraday)
química|Redox|2019|Reserva 2|Ejercicio 6 Opción A|Electrolisis (constante de Faraday)
química|Redox|2019|Reserva 2|Ejercicio 6 Opción B|Ajuste reacciones redox medio ácido
química|Redox|2019|Reserva 3|Ejercicio 4 Opción A|Pilas galvánicas: cálculo del potencial de la pila / ¿Se formará hidrógeno gaseoso?
química|Redox|2019|Reserva 3|Ejercicio 6 Opción B|Ajuste reacciones redox medio básico
química|Redox|2019|Reserva 4|Ejercicio 3 Opción A|Pilas galvánicas: espontaneidad
química|Redox|2019|Reserva 4|Ejercicio 6 Opción B|Ajuste reacciones redox medio ácido
química|Redox|2019|Septiembre|Ejercicio 6 Opción A|Ajuste reacciones redox medio ácido
química|Redox|2019|Septiembre|Ejercicio 6 Opción B|Electrolisis (constante de Faraday)
química|Redox|2018|Junio|Ejercicio 3 Opción A|Pilas galvánicas: cálculo del potencial de la pila / ¿Se formará hidrógeno gaseoso?
química|Redox|2018|Junio|Ejercicio 6 Opción B|Ajuste reacciones redox medio ácido
química|Redox|2018|Reserva 1|Ejercicio 6 Opción B|Ajuste reacciones redox medio ácido
química|Redox|2018|Reserva 2|Ejercicio 6 Opción A|Ajuste reacciones redox medio básico
química|Redox|2018|Reserva 2|Ejercicio 6 Opción B|Electrolisis (constante de Faraday)
química|Redox|2018|Reserva 3|Ejercicio 6 Opción A|Ajuste reacciones redox medio ácido
química|Redox|2018|Reserva 3|Ejercicio 6 Opción B|Electrolisis (constante de Faraday)
química|Redox|2018|Reserva 4|Ejercicio 4 Opción A|Pilas galvánicas: cálculo del potencial de la pila
química|Redox|2018|Reserva 4|Ejercicio 6 Opción B|Ajuste reacciones redox medio ácido
química|Redox|2018|Septiembre|Ejercicio 6 Opción A|Electrolisis (constante de Faraday)
química|Redox|2018|Septiembre|Ejercicio 6 Opción B|Ajuste reacciones redox medio ácido
química|Redox|2017|Junio|Opción A, Ejercicio 3|Espontaneidad de reacciones redox (cálculo de fem)
química|Redox|2017|Junio|Opción B, Ejercicio 6|Ajuste ión-electrón (medio ácido) + estequiometría
química|Redox|2017|Reserva 1|Opción A, Ejercicio 6|Ajuste ión-electrón (medio ácido) + estequiometría (gases)
química|Redox|2017|Reserva 1|Opción B, Ejercicio 6|Electrolisis (ley de Faraday)
química|Redox|2017|Reserva 2|Opción B, Ejercicio 6|Ajuste ión-electrón (medio ácido) + estequiometría (gases)
química|Redox|2017|Reserva 3|Opción A, Ejercicio 4|Pilas galvánicas: espontaneidad + cálculo de fem + notación de pila
química|Redox|2017|Reserva 3|Opción B, Ejercicio 6|Ajuste ión-electrón (medio ácido) + estequiometría
química|Redox|2017|Reserva 4|Opción A, Ejercicio 6|Electrolisis (ley de Faraday) + gases
química|Redox|2017|Reserva 4|Opción B, Ejercicio 6|Ajuste ión-electrón (medio ácido) + estequiometría (pureza)
química|Redox|2017|Septiembre|Opción A, Ejercicio 6|Ajuste ión-electrón (medio ácido) + estequiometría (gases)
química|Redox|2017|Septiembre|Opción B, Ejercicio 6|Electrolisis (ley de Faraday) + gases
química|Redox|2016|Junio|Opción A, Ejercicio 3|Pilas galvánicas: espontaneidad + cálculo de fem
química|Redox|2016|Junio|Opción B, Ejercicio 6|Electrolisis (ley de Faraday)
química|Redox|2016|Reserva 1|Opción A, Ejercicio 3|Verdadero / Falso (pilas galvánicas)
química|Redox|2016|Reserva 1|Opción B, Ejercicio 6|Ajuste ión-electrón (medio ácido) + estequiometría
química|Redox|2016|Reserva 2|Opción A, Ejercicio 5|Ajuste ión-electrón (medio ácido) + estequiometría
química|Redox|2016|Reserva 3|Opción B, Ejercicio 3|Pilas galvánicas: notación de pila + cálculo de fem
química|Redox|2016|Septiembre|Opción B, Ejercicio 6|Espontaneidad de reacciones redox (¿se forma H₂?) + electrolisis (ley de Faraday)
química|Redox|2015|Junio|Opción A, Ejercicio 5|Ajuste ión-electrón (medio ácido) + estequiometría
química|Redox|2015|Reserva 1|Opción A, Ejercicio 3|Pilas galvánicas: espontaneidad + cálculo de fem
química|Redox|2015|Reserva 1|Opción B, Ejercicio 6|Electrolisis (ley de Faraday) + gases
química|Redox|2015|Reserva 2|Opción A, Ejercicio 5|Ajuste ión-electrón (medio ácido) + estequiometría
química|Redox|2015|Reserva 3|Opción B, Ejercicio 3|Ajuste ión-electrón (medio ácido) + espontaneidad
química|Redox|2015|Reserva 4|Opción B, Ejercicio 6|Electrolisis (ley de Faraday) + gases
química|Redox|2015|Septiembre|Opción A, Ejercicio 3|Espontaneidad de reacciones redox (cálculo de fem)
química|Redox|2015|Septiembre|Opción B, Ejercicio 5|Ajuste ión-electrón (medio básico) + estequiometría
química|Redox|2014|Junio|Opción B, Ejercicio 6|Electrolisis (ley de Faraday) + gases
