asignatura|tema|año|convocatoria|ejercicio|tipo_ejercicio
química|formulación|2000|Junio|Opción A, Ejercicio 1|
química|cantidad química|2000|Junio|Opción A, Ejercicio 2|
química|enlace químico|2000|Junio|Opción A, Ejercicio 3|
química|ácido base|2000|Junio|Opción A, Ejercicio 4|Pares ácido-base conjugados según Brønsted-Lowry: completar equilibrios
química|cantidad química|2000|Junio|Opción A, Ejercicio 5|
química|redox|2000|Junio|Opción A, Ejercicio 6|
química|formulación|2000|Junio|Opción B, Ejercicio 1|
química|átomo|2000|Junio|Opción B, Ejercicio 2|
química|equilibrio químico|2000|Junio|Opción B, Ejercicio 3|Conceptos teóricos (endotérmica/exotérmica por tabla Kc-T / efecto presión / relación entre Kp de reacciones inversas)
química|reactividad orgánica|2000|Junio|Opción B, Ejercicio 4|
química|enlace químico|2000|Junio|Opción B, Ejercicio 5|
química|ácido base|2000|Junio|Opción B, Ejercicio 6|Equilibrio ácido débil: cálculo de masa a partir del pH + procedimiento de preparación
química|formulación|2000|Reserva 1|Opción A, Ejercicio 1|
química|cantidad química|2000|Reserva 1|Opción A, Ejercicio 2|
química|ácido base|2000|Reserva 1|Opción A, Ejercicio 3|Hidrólisis de sales: color de indicador (estimación cualitativa del pH)
química|átomo|2000|Reserva 1|Opción A, Ejercicio 4|
química|equilibrio químico|2000|Reserva 1|Opción A, Ejercicio 5|Equilibrio heterogéneo + Cálculo de presión total + Relación Kc-Kp
química|cantidad química|2000|Reserva 1|Opción A, Ejercicio 6|
química|formulación|2000|Reserva 1|Opción B, Ejercicio 1|
química|enlace químico|2000|Reserva 1|Opción B, Ejercicio 2|
química|equilibrio químico|2000|Reserva 1|Opción B, Ejercicio 3|Principio de Le Chatelier (equilibrio heterogéneo / concentración / volumen)
química|cinética|2000|Reserva 1|Opción B, Ejercicio 4|Diagrama entálpico / energía de activación
química|redox|2000|Reserva 1|Opción B, Ejercicio 5|
química|ácido base|2000|Reserva 1|Opción B, Ejercicio 6|Equilibrio ácido débil: pH y grado de disociación
química|formulación|2000|Reserva 2|Opción A, Ejercicio 1|
química|átomo|2000|Reserva 2|Opción A, Ejercicio 2|
química|ácido base|2000|Reserva 2|Opción A, Ejercicio 3|Hidrólisis de NH₄⁺: equilibrio de Brønsted y efecto de reactivos sobre el equilibrio
química|cantidad química|2000|Reserva 2|Opción A, Ejercicio 4|
química|redox|2000|Reserva 2|Opción A, Ejercicio 5|
química|termoquímica|2000|Reserva 2|Opción A, Ejercicio 6|
química|formulación|2000|Reserva 2|Opción B, Ejercicio 1|
química|enlace químico|2000|Reserva 2|Opción B, Ejercicio 2|
química|cinética|2000|Reserva 2|Opción B, Ejercicio 3|Conceptos teóricos (V/F sobre factores que afectan a la velocidad)
química|reactividad orgánica|2000|Reserva 2|Opción B, Ejercicio 4|
química|cantidad química|2000|Reserva 2|Opción B, Ejercicio 5|
química|equilibrio químico|2000|Reserva 2|Opción B, Ejercicio 6|Equilibrio heterogéneo + Cálculo de Kp + Cálculo de cantidad de sólido reaccionado
química|formulación|2000|Reserva 3|Opción A, Ejercicio 1|
química|átomo|2000|Reserva 3|Opción A, Ejercicio 2|
química|redox|2000|Reserva 3|Opción A, Ejercicio 3|
química|reactividad orgánica|2000|Reserva 3|Opción A, Ejercicio 4|
química|ácido base|2000|Reserva 3|Opción A, Ejercicio 5|pH de base fuerte: cálculo de masa de soluto + procedimiento de preparación
química|equilibrio químico|2000|Reserva 3|Opción A, Ejercicio 6|Cálculo de Kc y Kp + Uso de alfa como dato + Cálculo de presión para nuevo alfa
química|formulación|2000|Reserva 3|Opción B, Ejercicio 1|
química|ácido base|2000|Reserva 3|Opción B, Ejercicio 3|pH de base fuerte: cálculo de concentraciones y pH
química|cantidad química|2000|Reserva 3|Opción B, Ejercicio 4|
química|termoquímica|2000|Reserva 3|Opción B, Ejercicio 5|
química|cantidad química|2000|Reserva 3|Opción B, Ejercicio 6|
química|formulación|2000|Reserva 4|Opción A, Ejercicio 1|
química|cantidad química|2000|Reserva 4|Opción A, Ejercicio 2|
química|redox|2000|Reserva 4|Opción A, Ejercicio 3|
química|ácido base|2000|Reserva 4|Opción A, Ejercicio 4|Hidrólisis de sales: estimación cualitativa del pH (CaCl₂ / NH₄Cl / Na₂CO₃)
química|termoquímica|2000|Reserva 4|Opción A, Ejercicio 5|
química|equilibrio químico|2000|Reserva 4|Opción A, Ejercicio 6|Cálculo de Kp a partir de concentraciones + Cálculo de presiones parciales
química|formulación|2000|Reserva 4|Opción B, Ejercicio 1|
química|átomo|2000|Reserva 4|Opción B, Ejercicio 2|
química|reactividad orgánica|2000|Reserva 4|Opción B, Ejercicio 4|
química|ácido base|2000|Reserva 4|Opción B, Ejercicio 5|Equilibrio base débil (NH₃): pH y grado de disociación
química|redox|2000|Reserva 4|Opción B, Ejercicio 6|
química|formulación|2000|Septiembre|Opción A, Ejercicio 1|
química|enlace químico|2000|Septiembre|Opción A, Ejercicio 2|
química|redox|2000|Septiembre|Opción A, Ejercicio 3|
química|ácido base|2000|Septiembre|Opción A, Ejercicio 4|Clasificación de especies según Brønsted-Lowry: anfóteros / bases conjugadas / ácidos conjugados
química|cantidad química|2000|Septiembre|Opción A, Ejercicio 5|
química|equilibrio químico|2000|Septiembre|Opción A, Ejercicio 6|Cálculo de Kc + Cálculo de concentraciones en el equilibrio (ecuación de 2º grado) + Cálculo de grado de disociación
química|formulación|2000|Septiembre|Opción B, Ejercicio 1|
química|átomo|2000|Septiembre|Opción B, Ejercicio 2|
química|termoquímica|2000|Septiembre|Opción B, Ejercicio 3|
química|reactividad orgánica|2000|Septiembre|Opción B, Ejercicio 4|
química|cantidad química|2000|Septiembre|Opción B, Ejercicio 5|
química|redox|2000|Septiembre|Opción B, Ejercicio 6|
química|formulación|2001|Junio|Opción A, Ejercicio 1|
química|átomo|2001|Junio|Opción A, Ejercicio 2|
química|ácido base|2001|Junio|Opción A, Ejercicio 3|pH de ácido fuerte + dilución y nuevo pH + procedimiento de preparación
química|equilibrio químico|2001|Junio|Opción A, Ejercicio 4|Principio de Le Chatelier (temperatura / concentración)
química|redox|2001|Junio|Opción A, Ejercicio 5|
química|cantidad química|2001|Junio|Opción A, Ejercicio 6|
química|formulación|2001|Junio|Opción B, Ejercicio 1|
química|enlace químico|2001|Junio|Opción B, Ejercicio 2|
química|cinética|2001|Junio|Opción B, Ejercicio 3|Diagrama entálpico / energía de activación / catalizador
química|reactividad orgánica|2001|Junio|Opción B, Ejercicio 4|
química|ácido base|2001|Junio|Opción B, Ejercicio 5|Molaridad y pH de base fuerte + neutralización: molaridad del ácido
química|equilibrio químico|2001|Junio|Opción B, Ejercicio 6|Cálculo de Kc y Kp + Cálculo de concentraciones en el equilibrio (ecuación de 2º grado)
química|formulación|2001|Reserva 1|Opción A, Ejercicio 1|
química|átomo|2001|Reserva 1|Opción A, Ejercicio 2|
química|equilibrio químico|2001|Reserva 1|Opción A, Ejercicio 3|Principio de Le Chatelier (equilibrio heterogéneo / concentración)
química|reactividad orgánica|2001|Reserva 1|Opción A, Ejercicio 4|
química|termoquímica|2001|Reserva 1|Opción A, Ejercicio 5|
química|ácido base|2001|Reserva 1|Opción A, Ejercicio 6|Equilibrio ácido débil: pH y cálculo de Ka
química|formulación|2001|Reserva 1|Opción B, Ejercicio 1|
química|termoquímica|2001|Reserva 1|Opción B, Ejercicio 2|
química|enlace químico|2001|Reserva 1|Opción B, Ejercicio 3|
química|ácido base|2001|Reserva 1|Opción B, Ejercicio 4|pH de ácido fuerte a partir del pH + preparación de disolución diluida
química|equilibrio químico|2001|Reserva 1|Opción B, Ejercicio 5|Cálculo de Kc + Cálculo de grado de disociación
química|redox|2001|Reserva 1|Opción B, Ejercicio 6|
química|formulación|2001|Reserva 2|Opción A, Ejercicio 1|
química|enlace químico|2001|Reserva 2|Opción A, Ejercicio 2|
química|equilibrio químico|2001|Reserva 2|Opción A, Ejercicio 3|Conceptos teóricos (V/F sobre Kc y temperatura / presión)
química|termoquímica|2001|Reserva 2|Opción A, Ejercicio 4|
química|redox|2001|Reserva 2|Opción A, Ejercicio 5|
química|ácido base|2001|Reserva 2|Opción A, Ejercicio 6|Equilibrio ácido débil: pH y grado de disociación y Ka
química|formulación|2001|Reserva 2|Opción B, Ejercicio 1|
química|átomo|2001|Reserva 2|Opción B, Ejercicio 2|
química|ácido base|2001|Reserva 2|Opción B, Ejercicio 3|Hidrólisis de sales: estimación cualitativa del pH (HF / Na₂CO₃ / NH₄Cl)
química|reactividad orgánica|2001|Reserva 2|Opción B, Ejercicio 4|
química|equilibrio químico|2001|Reserva 2|Opción B, Ejercicio 5|Cálculo de Kc y Kp + Cálculo de concentraciones en el equilibrio
química|termoquímica|2001|Reserva 2|Opción B, Ejercicio 6|
química|formulación|2001|Reserva 3|Opción A, Ejercicio 1|
química|reactividad orgánica|2001|Reserva 3|Opción A, Ejercicio 2|
química|redox|2001|Reserva 3|Opción A, Ejercicio 3|
química|cantidad química|2001|Reserva 3|Opción A, Ejercicio 4|
química|termoquímica|2001|Reserva 3|Opción A, Ejercicio 5|
química|equilibrio químico|2001|Reserva 3|Opción A, Ejercicio 6|Cálculo de Kc y Kp + Cálculo de presiones parciales (alfa dato)
química|formulación|2001|Reserva 3|Opción B, Ejercicio 1|
química|átomo|2001|Reserva 3|Opción B, Ejercicio 2|
química|cinética|2001|Reserva 3|Opción B, Ejercicio 3|Diagrama entálpico / energía de activación (lectura de gráfica con catalizador)
química|reactividad orgánica|2001|Reserva 3|Opción B, Ejercicio 4|
química|cantidad química|2001|Reserva 3|Opción B, Ejercicio 5|
química|redox|2001|Reserva 3|Opción B, Ejercicio 6|
química|formulación|2001|Reserva 4|Opción A, Ejercicio 1|
química|átomo|2001|Reserva 4|Opción A, Ejercicio 2|
química|redox|2001|Reserva 4|Opción A, Ejercicio 3|
química|reactividad orgánica|2001|Reserva 4|Opción A, Ejercicio 4|
química|ácido base|2001|Reserva 4|Opción A, Ejercicio 5|pH de ácido y base fuertes + neutralización con exceso
química|equilibrio químico|2001|Reserva 4|Opción A, Ejercicio 6|Uso de alfa para calcular constantes + Cálculo de presiones parciales (sistema de ecuaciones)
química|formulación|2001|Reserva 4|Opción B, Ejercicio 1|
química|enlace químico|2001|Reserva 4|Opción B, Ejercicio 2|
química|ácido base|2001|Reserva 4|Opción B, Ejercicio 3|Pares ácido-base conjugados según Brønsted-Lowry: completar ecuaciones
química|equilibrio químico|2001|Reserva 4|Opción B, Ejercicio 4|Principio de Le Chatelier (concentración / temperatura / presión)
química|termoquímica|2001|Reserva 4|Opción B, Ejercicio 5|
química|redox|2001|Reserva 4|Opción B, Ejercicio 6|
química|formulación|2001|Septiembre|Opción A, Ejercicio 1|
química|átomo|2001|Septiembre|Opción A, Ejercicio 2|
química|equilibrio químico|2001|Septiembre|Opción A, Ejercicio 3|Conceptos teóricos (V/F sobre Kc y temperatura / desplazamiento del equilibrio)
química|reactividad orgánica|2001|Septiembre|Opción A, Ejercicio 4|
química|ácido base|2001|Septiembre|Opción A, Ejercicio 5|Equilibrio base débil (NH₃): concentraciones iónicas / pH / grado de disociación
química|redox|2001|Septiembre|Opción A, Ejercicio 6|
química|formulación|2001|Septiembre|Opción B, Ejercicio 1|
química|enlace químico|2001|Septiembre|Opción B, Ejercicio 2|
química|redox|2001|Septiembre|Opción B, Ejercicio 3|
química|ácido base|2001|Septiembre|Opción B, Ejercicio 4|Verdadero o falso: ácidos débiles / base conjugada / disoluciones diluidas
química|termoquímica|2001|Septiembre|Opción B, Ejercicio 5|
química|equilibrio químico|2001|Septiembre|Opción B, Ejercicio 6|Cálculo de Kc + Cálculo de moles en el equilibrio (tabla incompleta)
química|formulación|2002|Junio|Opción A, Ejercicio 1|
química|átomo|2002|Junio|Opción A, Ejercicio 2|
química|equilibrio químico|2002|Junio|Opción A, Ejercicio 3|Conceptos teóricos (V/F razonados sobre presiones y moles en el equilibrio)
química|reactividad orgánica|2002|Junio|Opción A, Ejercicio 4|
química|ácido base|2002|Junio|Opción A, Ejercicio 5|Equilibrio ácido débil: grado de disociación y pH
química|cantidad química|2002|Junio|Opción A, Ejercicio 6|
química|formulación|2002|Junio|Opción B, Ejercicio 1|
química|cantidad química|2002|Junio|Opción B, Ejercicio 2|
química|redox|2002|Junio|Opción B, Ejercicio 3|
