año,convocatoria,ejercicio,tema,tipo_ejercicio
2025,Junio,Ejercicio 5a,Redox,Pilas galvánicas: espontaneidad (ánodos de sacrificio)
2025,Junio,Ejercicio 5b,Redox,Electrolisis (constante de Faraday)
2025,Reserva 1,Ejercicio 3B,Redox,Ajuste reacciones redox medio ácido
2025,Reserva 2,Ejercicio 2A,Redox,Verdadero o falso
2025,Reserva 2,Ejercicio 3A,Redox,Electrolisis (constante de Faraday)
2025,Julio,Ejercicio 3B,Redox,Ajuste reacciones redox medio ácido
2024,Junio,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2024,Reserva 1,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2024,Reserva 2,Ejercicio B4,Redox,Pilas galvánicas: cálculo del potencial de la pila
2024,Reserva 2,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2024,Reserva 3,Ejercicio B5,Redox,Verdadero o falso
2024,Reserva 3,Ejercicio C2,Redox,Electrolisis (constante de Faraday)
2024,Reserva 4,Ejercicio B5,Redox,Pilas galvánicas: notación de la pila (se pregunta)
2024,Reserva 4,Ejercicio C4,Redox,Electrolisis (constante de Faraday)
2024,Julio,Ejercicio C4,Redox,Ajuste reacciones redox medio básico
2023,Junio,Ejercicio B5,Redox,¿Se formará hidrógeno gaseoso? / Pilas galvánicas: notación de la pila (se pregunta)
2023,Junio,Ejercicio C4,Redox,Electrolisis (constante de Faraday)
2023,Reserva 1,Ejercicio B2,Redox,Verdadero o falso
2023,Reserva 1,Ejercicio C2,Redox,Electrolisis (constante de Faraday)
2023,Reserva 2,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2023,Reserva 3,Ejercicio B4,Redox,Pilas galvánicas: cálculo del potencial de la pila
2023,Reserva 3,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2023,Reserva 4,Ejercicio C4,Redox,Ajuste reacciones redox medio básico
2023,Julio,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2022,Junio,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2022,Reserva 1,Ejercicio B4,Redox,Pilas galvánicas: notación de la pila (se pregunta)
2022,Reserva 1,Ejercicio C4,Redox,Ajuste reacciones redox medio básico
2022,Reserva 2,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2022,Reserva 3,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2022,Reserva 4,Ejercicio B5,Redox,Pilas galvánicas: espontaneidad / Pilas galvánicas: cálculo del potencial de la pila
2022,Reserva 4,Ejercicio C2,Redox,Electrolisis (constante de Faraday)
2022,Julio,Ejercicio B5,Redox,Pilas galvánicas: notación de la pila (como dato del ejercicio)
2022,Julio,Ejercicio C4,Redox,Electrolisis (constante de Faraday)
2021,Junio,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2021,Reserva 1,Ejercicio B5,Redox,Verdadero o falso
2021,Reserva 1,Ejercicio C2,Redox,Electrolisis (constante de Faraday)
2021,Reserva 2,Ejercicio B5,Redox,Pilas galvánicas: notación de la pila (se pregunta)
2021,Reserva 2,Ejercicio C4,Redox,Electrolisis (constante de Faraday)
2021,Reserva 3,Ejercicio B4,Redox,Verdadero o falso
2021,Reserva 3,Ejercicio C4,Redox,Ajuste reacciones redox medio básico
2021,Reserva 4,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2021,Julio,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2020,Junio,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2020,Reserva 1,Ejercicio B5,Redox,Pilas galvánicas: notación de la pila (se pregunta)
2020,Reserva 1,Ejercicio C4,Redox,Electrolisis (constante de Faraday)
2020,Reserva 2,Ejercicio B4,Redox,Pilas galvánicas: cálculo del potencial de la pila / Pilas galvánicas: notación de la pila (se pregunta)
2020,Reserva 2,Ejercicio C4,Redox,Ajuste reacciones redox medio básico
2020,Reserva 3,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2020,Reserva 4,Ejercicio B6,Redox,Pilas galvánicas: cálculo del potencial de la pila / ¿Se formará hidrógeno gaseoso?
2020,Reserva 4,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2020,Septiembre,Ejercicio C2,Redox,Electrolisis (constante de Faraday)
2019,Junio,Ejercicio 6 Opción B,Redox,Ajuste reacciones redox medio ácido
2019,Reserva 1,Ejercicio 6 Opción A,Redox,Ajuste reacciones redox medio ácido
2019,Reserva 1,Ejercicio 6 Opción B,Redox,Electrolisis (constante de Faraday)
